Orthogroup	Clus_ATCC42720	Clus_L17
OG0000000	CLUG_02936	E0198_002312
OG0000000	CLUG_03335, CLUG_00413, CLUG_03216, CLUG_05916, CLUG_00131, CLUG_01754, CLUG_05917, CLUG_05876, CLUG_03398, CLUG_00132, CLUG_00414, CLUG_05877, CLUG_01755, CLUG_00133, CLUG_05878, CLUG_05486, CLUG_05918	E0198_004984
OG0000001	CLUG_05233	E0198_004340
OG0000001	CLUG_04844	E0198_004657
OG0000001	CLUG_05601, CLUG_05607	E0198_004977
OG0000002	CLUG_05008	E0198_004527
OG0000002	CLUG_04902	E0198_004610
OG0000002	CLUG_04189	E0198_004247, E0198_004246
OG0000002	CLUG_03229	E0198_002901
OG0000002	CLUG_05007	E0198_004528
OG0000003	CLUG_05155	E0198_004406
OG0000003	CLUG_04499	E0198_003973
OG0000003	CLUG_00763	E0198_000409
OG0000003	CLUG_04087	E0198_003669
OG0000003	CLUG_00352	E0198_000770
OG0000003	CLUG_00762	E0198_000410
OG0000004	CLUG_01400	E0198_001897
OG0000004	CLUG_03234	E0198_002904
OG0000004	CLUG_02821	E0198_002398
OG0000004	CLUG_05851	E0198_005191
OG0000004	CLUG_03878	E0198_003488
OG0000004	CLUG_04122	E0198_004315
OG0000005	CLUG_04850	E0198_004650
OG0000005	CLUG_05231	E0198_004342
OG0000005	CLUG_02906	E0198_002334
OG0000005	CLUG_02909	E0198_002333
OG0000005	CLUG_02300	E0198_004663, E0198_001091
OG0000006	CLUG_04391	E0198_004075
OG0000006	CLUG_01766, CLUG_03061, CLUG_01004	E0198_004074
OG0000006	CLUG_02955	E0198_002295
OG0000006	CLUG_02918	E0198_002325
OG0000007	CLUG_00419	E0198_000719
OG0000007	CLUG_00421	E0198_000717
OG0000007	CLUG_00420	E0198_000718
OG0000008	CLUG_05197	E0198_004369
OG0000008	CLUG_04890	E0198_004618
OG0000008	CLUG_00721	E0198_000449
OG0000008	CLUG_02803	E0198_002411
OG0000009	CLUG_00865	E0198_000307
OG0000009	CLUG_02695	E0198_002513
OG0000009	CLUG_04344	E0198_004109
OG0000009	CLUG_02348	E0198_002832
OG0000010	CLUG_01003	E0198_000176
OG0000010	CLUG_01763	E0198_001562
OG0000010	CLUG_02001	E0198_001337
OG0000010	CLUG_03060	E0198_002190
OG0000011	CLUG_02157	E0198_002874
OG0000011	CLUG_03198	E0198_002873
OG0000011	CLUG_05090	E0198_004460
OG0000012	CLUG_02773	E0198_002438
OG0000012	CLUG_00233	E0198_000866
OG0000012	CLUG_01392, CLUG_01393	E0198_001905
OG0000013	CLUG_00467	E0198_000674
OG0000013	CLUG_03184	E0198_002080
OG0000013	CLUG_03185	E0198_002079
OG0000014	CLUG_01337	E0198_001948
OG0000014	CLUG_00524	E0198_000628
OG0000014	CLUG_02427, CLUG_02426	E0198_002758
OG0000015	CLUG_00566	E0198_000585
OG0000015	CLUG_00567	E0198_000584
OG0000015	CLUG_04897, CLUG_04896	E0198_004614
