Orthogroup	Clus_L17	Clus_ATCC42720
OG0000000	E0198_002312	CLUG_02936
OG0000000	E0198_004984	CLUG_03335, CLUG_00413, CLUG_03216, CLUG_05916, CLUG_00131, CLUG_01754, CLUG_05917, CLUG_05876, CLUG_03398, CLUG_00132, CLUG_00414, CLUG_05877, CLUG_01755, CLUG_00133, CLUG_05878, CLUG_05486, CLUG_05918
OG0000001	E0198_004340	CLUG_05233
OG0000001	E0198_004657	CLUG_04844
OG0000001	E0198_004977	CLUG_05601, CLUG_05607
OG0000002	E0198_004527	CLUG_05008
OG0000002	E0198_004610	CLUG_04902
OG0000002	E0198_004247, E0198_004246	CLUG_04189
OG0000002	E0198_002901	CLUG_03229
OG0000002	E0198_004528	CLUG_05007
OG0000003	E0198_004406	CLUG_05155
OG0000003	E0198_003973	CLUG_04499
OG0000003	E0198_000409	CLUG_00763
OG0000003	E0198_003669	CLUG_04087
OG0000003	E0198_000770	CLUG_00352
OG0000003	E0198_000410	CLUG_00762
OG0000004	E0198_001897	CLUG_01400
OG0000004	E0198_002904	CLUG_03234
OG0000004	E0198_002398	CLUG_02821
OG0000004	E0198_005191	CLUG_05851
OG0000004	E0198_003488	CLUG_03878
OG0000004	E0198_004315	CLUG_04122
OG0000005	E0198_004650	CLUG_04850
OG0000005	E0198_004342	CLUG_05231
OG0000005	E0198_002334	CLUG_02906
OG0000005	E0198_002333	CLUG_02909
OG0000005	E0198_004663, E0198_001091	CLUG_02300
OG0000006	E0198_004075	CLUG_04391
OG0000006	E0198_004074	CLUG_01766, CLUG_03061, CLUG_01004
OG0000006	E0198_002295	CLUG_02955
OG0000006	E0198_002325	CLUG_02918
OG0000007	E0198_000719	CLUG_00419
OG0000007	E0198_000717	CLUG_00421
OG0000007	E0198_000718	CLUG_00420
OG0000008	E0198_004369	CLUG_05197
OG0000008	E0198_004618	CLUG_04890
OG0000008	E0198_000449	CLUG_00721
OG0000008	E0198_002411	CLUG_02803
OG0000009	E0198_000307	CLUG_00865
OG0000009	E0198_002513	CLUG_02695
OG0000009	E0198_004109	CLUG_04344
OG0000009	E0198_002832	CLUG_02348
OG0000010	E0198_000176	CLUG_01003
OG0000010	E0198_001562	CLUG_01763
OG0000010	E0198_001337	CLUG_02001
OG0000010	E0198_002190	CLUG_03060
OG0000011	E0198_002874	CLUG_02157
OG0000011	E0198_002873	CLUG_03198
OG0000011	E0198_004460	CLUG_05090
OG0000012	E0198_002438	CLUG_02773
OG0000012	E0198_000866	CLUG_00233
OG0000012	E0198_001905	CLUG_01392, CLUG_01393
OG0000013	E0198_000674	CLUG_00467
OG0000013	E0198_002080	CLUG_03184
OG0000013	E0198_002079	CLUG_03185
OG0000014	E0198_001948	CLUG_01337
OG0000014	E0198_000628	CLUG_00524
OG0000014	E0198_002758	CLUG_02427, CLUG_02426
OG0000015	E0198_000585	CLUG_00566
OG0000015	E0198_000584	CLUG_00567
OG0000015	E0198_004614	CLUG_04897, CLUG_04896
OG0000016	E0198_004994, E0198_002409	CLUG_04110, CLUG_00028
OG0000016	E0198_000251	CLUG_00920
OG0000017	E0198_000472	CLUG_00697
OG0000017	E0198_000942	CLUG_00156
OG0000017	E0198_000473	CLUG_00696
OG0000018	E0198_001503	CLUG_01827
OG0000018	E0198_000876	CLUG_00223
OG0000018	E0198_000927	CLUG_00171
OG0000019	E0198_001355	CLUG_01979
OG0000019	E0198_002750	CLUG_00201, CLUG_00273, CLUG_02434
OG0000020	E0198_000732	CLUG_00403
OG0000020	E0198_001621	CLUG_00402, CLUG_03658, CLUG_01698
OG0000021	E0198_005160	CLUG_05816
OG0000021	E0198_000579	CLUG_03893, CLUG_01123, CLUG_00572
OG0000023	E0198_005061	CLUG_05703
OG0000023	E0198_001436	CLUG_05702, CLUG_01898, CLUG_05704
OG0000024	E0198_003572	CLUG_03982
OG0000024	E0198_003718	CLUG_04790
OG0000024	E0198_001319	CLUG_02019
OG0000025	E0198_001156	CLUG_02219
OG0000025	E0198_004636	CLUG_04864
OG0000025	E0198_004635	CLUG_04865
OG0000026	E0198_003066	CLUG_03426
OG0000026	E0198_002456	CLUG_02758
OG0000026	E0198_002465	CLUG_02748
OG0000027	E0198_003134	CLUG_03499, CLUG_04409
OG0000027	E0198_003064, E0198_004060	CLUG_03423
OG0000028	E0198_004333	CLUG_04102
OG0000028	E0198_004612	CLUG_04899
OG0000028	E0198_004093	CLUG_04363
OG0000029	E0198_004661, E0198_004976, E0198_002872, E0198_004339, E0198_004334	CLUG_04838
OG0000030	E0198_004970	CLUG_05590
OG0000030	E0198_004660	CLUG_04839
OG0000030	E0198_004975	CLUG_05600
OG0000031	E0198_000737	CLUG_00392, CLUG_00709, CLUG_05690, CLUG_00841
OG0000032	E0198_000589	CLUG_00562
OG0000032	E0198_004009	CLUG_01207, CLUG_04462
OG0000033	E0198_000319	CLUG_00852
OG0000033	E0198_004280	CLUG_05366, CLUG_04157
OG0000034	E0198_001374	CLUG_01960
OG0000034	E0198_000167	CLUG_03842, CLUG_01013
OG0000035	E0198_004664	CLUG_05234
OG0000035	E0198_004343	CLUG_01197, CLUG_05230
OG0000036	E0198_003361	CLUG_03739
OG0000036	E0198_002038	CLUG_04610, CLUG_01250
OG0000037	E0198_003723	CLUG_01405
OG0000037	E0198_001893, E0198_004683	CLUG_05258
OG0000038	E0198_001878	CLUG_01420
OG0000038	E0198_005014, E0198_001346	CLUG_01990
OG0000039	E0198_001184	CLUG_02187
OG0000039	E0198_001185, E0198_001186	CLUG_02186
OG0000040	E0198_004335, E0198_004662, E0198_004338, E0198_002871	CLUG_03197
OG0000041	E0198_002916	CLUG_03250
OG0000041	E0198_002914	CLUG_03248, CLUG_03247
OG0000042	E0198_002979	CLUG_03322
OG0000042	E0198_003677	CLUG_03323, CLUG_04097
OG0000043	E0198_004434	CLUG_05126
OG0000043	E0198_001476, E0198_004505	CLUG_05033
OG0000044	E0198_004837	CLUG_05434
OG0000044	E0198_004134, E0198_005142	CLUG_05795
OG0000046	E0198_001066	CLUG_00027
OG0000046	E0198_001643	CLUG_01673
OG0000047	E0198_003567	CLUG_03972
OG0000047	E0198_001019	CLUG_00073
OG0000048	E0198_001015	CLUG_00078
OG0000048	E0198_003530	CLUG_03931
OG0000049	E0198_000999	CLUG_00095
OG0000049	E0198_003504	CLUG_03905
OG0000050	E0198_001777	CLUG_01525
OG0000050	E0198_000935	CLUG_00164
OG0000051	E0198_000921	CLUG_00476
OG0000051	E0198_000667	CLUG_00178
OG0000052	E0198_000895	CLUG_00206
OG0000052	E0198_000422	CLUG_00751
OG0000053	E0198_000611	CLUG_00541
OG0000053	E0198_000881	CLUG_00218
OG0000054	E0198_002427	CLUG_02784, CLUG_05507, CLUG_00271
OG0000055	E0198_000670	CLUG_00471, CLUG_00277, CLUG_04831
OG0000056	E0198_000813	CLUG_00307
OG0000056	E0198_004457	CLUG_05095
OG0000057	E0198_000809	CLUG_00313
OG0000057	E0198_004659	CLUG_04841
OG0000058	E0198_000800	CLUG_00321
OG0000058	E0198_000622	CLUG_00530
OG0000059	E0198_001575	CLUG_01748
OG0000059	E0198_000799	CLUG_00322
OG0000060	E0198_003348	CLUG_03725
OG0000060	E0198_000757	CLUG_00370
OG0000061	E0198_001246	CLUG_02113
OG0000061	E0198_000751	CLUG_00377
OG0000062	E0198_004194	CLUG_04254
OG0000062	E0198_000750	CLUG_00378
OG0000063	E0198_000734	CLUG_00398
OG0000063	E0198_000144	CLUG_01043
OG0000064	E0198_003729	CLUG_04779
OG0000064	E0198_000708	CLUG_00431
OG0000065	E0198_000699	CLUG_00440
OG0000065	E0198_001697	CLUG_01616
OG0000066	E0198_000675	CLUG_00466
OG0000066	E0198_002280	CLUG_02976
OG0000067	E0198_000656	CLUG_00490
OG0000067	E0198_000657	CLUG_00489
OG0000068	E0198_003082	CLUG_03441
OG0000068	E0198_000644	CLUG_00506
OG0000069	E0198_000560	CLUG_00597, CLUG_04835, CLUG_04836
OG0000070	E0198_001896	CLUG_01402
OG0000070	E0198_000548	CLUG_00611
OG0000071	E0198_000508	CLUG_00656
OG0000071	E0198_002067	CLUG_01216
OG0000072	E0198_001170	CLUG_02205
OG0000072	E0198_000469	CLUG_00702
OG0000073	E0198_000177	CLUG_01001
OG0000073	E0198_000436	CLUG_00734
OG0000074	E0198_003624	CLUG_04037
OG0000074	E0198_000431	CLUG_00741
OG0000075	E0198_002638	CLUG_02571
OG0000075	E0198_000414	CLUG_00758
OG0000076	E0198_000391	CLUG_00779
OG0000076	E0198_002362	CLUG_02871
OG0000077	E0198_000346	CLUG_00822
OG0000077	E0198_002097	CLUG_03166
OG0000078	E0198_003906	CLUG_04569
OG0000078	E0198_000243	CLUG_00928
OG0000079	E0198_000234	CLUG_00936
OG0000079	E0198_002763	CLUG_02420
OG0000080	E0198_000217	CLUG_00957
OG0000080	E0198_001822	CLUG_01478
OG0000081	E0198_001522	CLUG_01811
OG0000081	E0198_000191	CLUG_00984
OG0000082	E0198_003119	CLUG_03485
OG0000082	E0198_000131	CLUG_01057
OG0000083	E0198_002090	CLUG_03174
OG0000083	E0198_000130	CLUG_01058
OG0000084	E0198_003433	CLUG_03813
OG0000084	E0198_000129	CLUG_01059
OG0000085	E0198_000095	CLUG_01091
OG0000085	E0198_004419	CLUG_05140
OG0000086	E0198_001917	CLUG_01121, CLUG_04828, CLUG_01374
OG0000087	E0198_000038	CLUG_01149
OG0000087	E0198_000037	CLUG_01150
OG0000088	E0198_000010	CLUG_01178
OG0000088	E0198_000009	CLUG_01179
OG0000089	E0198_002064	CLUG_01219
OG0000089	E0198_004454	CLUG_05100
OG0000090	E0198_002056	CLUG_01230
OG0000090	E0198_004266	CLUG_04166
OG0000091	E0198_004860	CLUG_05468
OG0000091	E0198_002011	CLUG_01274
OG0000092	E0198_002010	CLUG_01275
OG0000092	E0198_002401	CLUG_02817
OG0000093	E0198_002004	CLUG_01281
OG0000093	E0198_004542	CLUG_04991
OG0000094	E0198_001971	CLUG_01316
OG0000094	E0198_003133	CLUG_03498
OG0000095	E0198_003443, E0198_003332, E0198_001967	CLUG_01320
OG0000096	E0198_004496	CLUG_05047, CLUG_04192, CLUG_01340
OG0000097	E0198_001943	CLUG_01343
OG0000097	E0198_001568	CLUG_01757
OG0000098	E0198_001892, E0198_003724	CLUG_04785, CLUG_01406
OG0000099	E0198_003885	CLUG_04596
OG0000099	E0198_001856	CLUG_01443
OG0000100	E0198_001815	CLUG_01484
OG0000100	E0198_004816	CLUG_05410
OG0000101	E0198_002448	CLUG_02766
OG0000101	E0198_001801	CLUG_01501
OG0000102	E0198_004800	CLUG_05397
OG0000102	E0198_001797	CLUG_01504
OG0000103	E0198_004385, E0198_002525, E0198_001789	CLUG_01514
OG0000104	E0198_003403	CLUG_01539, CLUG_03131, CLUG_03782
OG0000105	E0198_004348	CLUG_05225
OG0000105	E0198_001740	CLUG_01565
OG0000106	E0198_001730	CLUG_01575
OG0000106	E0198_003797	CLUG_04704
OG0000107	E0198_002728	CLUG_02459
OG0000107	E0198_001720	CLUG_01593
OG0000108	E0198_004010	CLUG_04461
OG0000108	E0198_001711	CLUG_01602
OG0000109	E0198_001634	CLUG_01682
OG0000109	E0198_001274	CLUG_02078
OG0000110	E0198_001607	CLUG_01714
